age,income,score,visits,segment
44.0,71820.92268657956,645.2573883179255,8,A
28.0,56817.09291189322,591.6570450901071,16,A
49.0,25343.051866849582,616.8421547331313,5,B
51.0,17132.769813636147,700.7128302186994,4,B
17.0,8248.078813170401,650.2394632959964,6,B
24.0,27674.100257669295,677.2167981494671,7,B
42.0,121808.75430784098,703.6063393761751,3,A
36.0,45136.30252460458,620.0126829681913,3,A
40.0,27452.53677274134,710.4998530903845,4,B
30.0,45822.93938966707,680.3074082766716,9,A
51.0,16639.26967191039,551.2149530470817,6,B
49.0,31298.902707682424,765.3843832948995,7,B
41.0,38167.46524380377,609.9404204994468,14,A
54.0,34785.28300257958,517.5923725451853,4,B
46.0,53927.88989594932,566.3965032330958,18,A
30.0,43145.03443730083,568.3163871457342,15,A
44.0,50724.434133316456,654.1738654926027,3,A
28.0,25740.3186048579,628.091959556301,6,B
51.0,56891.8686658318,623.0534425887525,3,A
39.0,81999.50370188155,699.5761572385983,5,A
38.0,22357.68167675377,677.1900288954163,7,B
32.0,23298.68434646816,675.2838296515429,2,B
55.0,70819.67723817633,682.7862765862955,0,A
38.0,33002.15055479813,699.290773440179,8,B
35.0,73270.30545442076,481.3637326578046,14,A
36.0,29106.946734052937,620.8449398188432,6,B
46.0,75171.14965605337,475.5831948408421,17,A
44.0,38783.218082639665,652.8847941438237,7,A
45.0,41320.516025057754,649.6293622220524,18,A
45.0,79408.36631056272,733.6425819831744,4,A
66.0,30306.41730381928,745.0107514176897,10,B
35.0,22684.540858873126,666.2220038601894,15,B
34.0,29019.34327170368,609.971113808248,1,B
30.0,45531.83248245519,688.812889003659,18,A
47.0,16599.37733845901,607.766589014055,7,B
54.0,49947.8855238367,649.8885878845321,9,A
39.0,27739.546380429707,728.8909053568614,12,B
30.0,64466.844403675226,605.3782923208461,12,A
30.0,10969.454741808302,714.4542911394001,0,B
48.0,24507.074561139936,704.1921094953842,17,B
49.0,15627.163427546242,573.6166546295343,12,B
47.0,24025.84168207646,727.9115302573921,19,B
32.0,41102.85860728997,705.8853076297204,9,A
43.0,33202.706985053985,658.1540709898126,12,B
41.0,31994.2415979867,589.0141233577879,8,B
43.0,33537.099885794916,581.2635185139544,17,B
50.0,40202.88830100972,606.9869938477582,16,A
43.0,21932.65670884057,693.4075570633568,18,B
48.0,51710.94914882507,573.5499866078882,10,A
41.0,50581.08570977348,685.0009798895896,15,A
43.0,44025.26571208875,550.6595576897286,7,A
48.0,47966.91212079994,633.6745132448921,9,A
23.0,42117.09525883346,658.7718203659207,15,A
36.0,100462.18342754537,845.6104116047134,1,A
34.0,34768.007370035695,539.8147475583706,14,B
32.0,31146.538387476987,767.7611653192107,0,B
37.0,24915.271552700993,661.9873931189824,11,B
58.0,21674.000004944737,682.893753441277,9,B
30.0,19492.091656200886,659.4678330710564,9,B
52.0,23285.854295007444,685.5781454556186,9,B
20.0,35054.51882199813,637.7051916510386,9,B
36.0,42922.333516714396,766.3240145165967,8,A
42.0,37256.10225347459,613.4823084620222,9,A
47.0,24766.132189127908,740.5787657743398,11,B
49.0,56959.30144252169,598.4506303829581,15,A
50.0,52559.773098548314,645.179852287897,11,A
36.0,33529.32963566826,564.2429958167825,12,B
34.0,26200.71364318258,686.4018976278016,16,B
50.0,47772.907085508734,765.6100765541227,19,A
38.0,39894.22253384244,643.8115056143316,2,A
25.0,17604.96723190249,634.2491441036873,14,B
26.0,35101.87658580287,560.8306429545659,4,B
29.0,41399.24430056188,631.6565877158154,3,A
46.0,23159.32084456062,522.5764592222778,15,B
42.0,39931.53718930077,576.9697610624938,1,A
48.0,17546.131151274145,668.1428836887309,16,B
35.0,70833.90505467798,755.5210558193116,15,A
42.0,67776.78373695936,874.7368688983602,19,A
48.0,32008.005835425312,603.0731931943279,13,B
36.0,43552.70831233311,764.8240125316352,17,A
45.0,10883.89025932459,669.5001984321318,2,B
32.0,20370.156047966557,637.90018826029,17,B
36.0,31354.42046922314,684.6075561380921,3,B
35.0,21246.20328156622,654.9533186943968,6,B
26.0,51906.4449353065,658.8316580489775,2,A
46.0,98582.42363039262,617.3333469738665,8,A
34.0,20164.776834733842,538.1512272160919,14,B
40.0,23891.267580588163,526.5099837982335,5,B
46.0,40852.536204687356,702.2595906624981,16,A
45.0,81272.10089749761,627.8639927931429,12,A
48.0,19708.64879934378,602.3128880275067,12,B
39.0,41131.02825993301,650.6804501378523,18,A
35.0,90278.03141867343,713.5945802332502,8,A
39.0,15900.732016312544,664.4291154421119,6,B
20.0,19138.655109504685,597.5156050687226,19,B
23.0,29383.738755953313,748.103436451916,11,B
24.0,27992.889026734843,776.3348402385305,12,B
28.0,54518.78738326309,689.5645324258282,5,A
45.0,40979.608155929694,727.8930809075272,4,A
29.0,14950.783271351695,749.3567997451049,3,B
35.0,46990.709993886834,740.4079453123611,4,A
56.0,27207.026777319345,699.1279341690099,3,B
36.0,68680.70695841695,697.8677637659906,14,A
49.0,26534.637442023028,691.5728458677202,1,B
29.0,26415.13336572175,562.2129860362365,12,B
38.0,47598.94163446541,706.0578525487668,18,A
29.0,53181.360168828134,541.5348823098757,15,A
36.0,45435.530222213085,586.4320435899956,8,A
50.0,15633.969240562386,754.285205424647,1,B
19.0,47525.28765104172,717.2176130155358,16,A
45.0,21651.845540507875,768.991863174869,0,B
43.0,40849.01779422775,628.2660493050166,13,A
33.0,17820.999396355895,557.8200926978586,13,B
23.0,45395.17377083439,630.7650242343726,3,A
41.0,24262.823187606526,658.162503779246,14,B
34.0,19123.68072985159,656.3190973072008,3,B
43.0,51891.48905054755,740.6944383005361,4,A
40.0,40979.29675011819,621.0983659997244,16,A
59.0,26715.83124779755,678.1627577442339,19,B
37.0,75025.95689010459,570.9098280452315,5,A
28.0,29134.368058155367,686.0253822435051,18,B
42.0,36903.21069638214,650.2486840148509,18,A
43.0,41541.85382240243,590.0149329372387,15,A
56.0,26639.944276673934,631.1336510260118,2,B
50.0,45961.903460740454,635.2659402787823,5,A
44.0,27813.417480227814,628.3875896530324,13,B
58.0,29560.102390984957,791.7072993814147,19,B
26.0,71777.13999723966,642.1243198153696,16,A
