age,income,score,visits,segment
45.0,33826.45246847312,702.6310408346543,2,B
58.0,32127.56535457724,638.7209682044465,14,B
58.0,50724.434133316456,619.2603269695544,9,B
45.0,28870.62015644352,618.7457917920643,10,B
43.0,13639.213654898243,517.5923725451853,4,B
34.0,21202.564065671715,678.2101763133738,11,B
29.0,17183.08339104699,767.836285775166,2,A
37.0,37256.10225347459,531.1955616698051,6,B
34.0,38226.20644078111,551.7600095342002,4,A
44.0,26606.112918998064,631.1336510260118,19,A
33.0,89212.86934435049,641.5820692599303,1,A
27.0,53285.068803611415,540.1597586491569,0,B
43.0,11806.030300479517,544.360881267437,18,A
42.0,50581.08570977348,661.9873931189824,6,A
38.0,31268.53652337088,526.5099837982335,14,A
32.0,29134.368058155367,730.6008616789247,3,A
44.0,14315.203358137484,682.893753441277,5,A
36.0,25343.051866849582,699.1416350685652,15,B
51.0,55583.5619098472,583.1154308123371,9,A
36.0,42396.031534471855,727.0126057989473,18,B
35.0,33360.9089161612,557.4028294213263,2,B
26.0,53181.36016882813,753.245100985694,1,A
39.0,57651.92282654963,678.2101763133738,13,A
32.0,42955.52806600035,768.1914907336028,7,B
39.0,79408.36631056272,427.76045754171423,2,A
49.0,37428.69608554521,630.7650242343726,8,A
41.0,11806.030300479517,638.7209682044465,19,B
44.0,75025.95689010459,606.9869938477582,15,B
30.0,28509.28019735769,720.1234883265216,8,B
44.0,27739.546380429707,694.9818297531594,17,A
41.0,56817.09291189322,591.9686782393619,2,B
36.0,30034.34214521704,528.8196179365168,13,B
43.0,41131.02825993301,650.6804501378523,12,A
37.0,17132.769813636147,620.9133367754561,1,B
36.0,23285.854295007444,638.4777871956259,19,A
44.0,89214.35723961102,658.8316580489775,8,A
43.0,34863.86256544288,483.2478276009221,4,B
39.0,37127.239185686296,836.0623833505348,19,A
38.0,41743.03780685475,646.916939052527,3,A
26.0,64088.76418235446,700.7128302186994,17,B
49.0,21932.65670884057,767.8889113802477,14,B
23.0,47204.93341628162,828.3418888444778,9,B
28.0,27452.53677274134,654.9363707240294,10,B
34.0,15900.732016312544,657.534644658585,12,B
27.0,44913.01727354888,567.4082384356122,9,A
58.0,23285.854295007444,633.7646445059704,6,A
49.0,19150.412238275472,678.1627577442339,1,A
56.0,15477.983781569425,678.1627577442339,12,A
43.0,51710.94914882507,544.360881267437,17,B
25.0,45518.96359742973,669.5001984321318,4,A
43.0,42490.619458834,596.8299199949495,8,A
43.0,41631.06870731546,593.0130348469833,15,A
62.0,44265.76849887268,557.9931604678109,6,A
