age,income,score,visits,segment
43.28229,42682.88,600.69,15,A
48.27056,39544.375,670.62115,7,A
45.654415,31217.57,687.543,7,B
41.974075,37038.273,585.749,15,A
45.78133,46151.215,648.04016,7,A
42.0302,49282.797,696.61694,15,A
49.63991,36958.92,678.25995,7,B
48.16401,48703.883,628.252,17,A
47.070305,58354.13,582.4792,3,A
49.620224,41989.652,645.5471,7,A
48.984715,41728.22,646.822,15,A
44.93642,51205.547,608.2774,15,A
44.84176,47376.36,630.16003,15,A
43.7542,41257.16,649.80115,15,A
44.41928,50395.758,641.50134,3,A
50.41472,42025.1,659.2305,15,A
39.004547,46207.258,667.9299,13,A
49.434757,32606.646,667.08356,15,B
41.49229,48948.133,658.9662,3,A
47.28883,57025.36,634.4876,3,A
43.955032,45413.01,631.9824,15,A
49.585484,37673.46,645.051,4,A
46.948883,36435.082,635.61163,17,B
46.43578,43893.586,716.9853,19,A
36.777767,54844.566,589.19525,5,A
48.478386,39969.617,677.6284,7,A
49.32048,39136.902,677.4395,19,A
38.32123,43657.35,611.5645,15,A
44.95465,38725.152,687.6198,15,A
50.84705,49224.832,637.75806,19,A
49.68392,34290.57,663.5596,19,B
46.169964,41101.027,654.9497,5,A
48.09923,41466.97,668.6741,15,A
46.104656,49927.31,641.4257,15,A
49.880665,44559.53,664.8035,19,A
41.414577,44386.37,649.1963,3,A
48.042118,43333.383,666.7946,15,A
39.33769,54061.91,593.01556,5,A
45.305763,45798.72,647.7506,15,A
47.417206,40712.383,668.27216,15,A
37.820736,51468.707,684.5385,15,A
41.43748,42272.48,554.90765,10,A
45.32734,33705.254,638.5447,15,B
44.910477,39764.8,680.53174,7,A
40.544693,44604.07,652.27075,7,A
41.55787,41033.25,665.6412,15,A
41.72477,42456.79,606.5675,15,A
45.436527,48571.344,686.23627,1,A
44.360058,51544.082,611.667,15,A
45.184227,59432.805,681.61804,13,A
46.4887,42612.754,640.99414,15,A
48.26235,44689.906,671.43274,13,A
48.521027,38759.668,616.81104,15,B
40.35082,51344.367,694.60297,10,A
45.278336,35287.246,679.75354,5,B
49.27341,39733.707,659.0253,19,A
51.553898,40701.02,695.7998,19,A
43.270176,51073.434,650.68756,15,A
46.553402,30152.223,648.7286,7,B
52.017212,44916.25,630.4833,15,A
54.403393,32943.11,698.1665,15,B
46.17711,48019.164,648.47534,15,A
46.379536,54782.05,706.3388,14,A
48.845467,42200.95,642.9551,15,A
47.506027,39587.543,701.6997,7,A
49.462334,46966.81,655.556,10,A
48.79815,41236.363,643.45856,15,A
43.260937,29451.188,665.8242,8,B
43.16961,41593.812,705.5478,4,A
47.852768,42854.367,635.2507,7,A
49.32472,31819.049,645.9081,15,B
41.67553,50147.54,659.7426,13,A
40.771374,59510.62,604.55524,13,A
40.19336,52073.746,667.557,5,A
45.69203,48841.344,625.7413,15,A
45.371227,44214.777,623.46686,15,A
45.72516,41127.52,619.6792,15,A
38.972797,43479.586,606.21124,8,A
47.438187,37363.484,680.2242,15,A
43.381573,35502.016,684.4595,7,B
43.192085,44864.758,701.15094,19,A
43.81165,34352.535,709.63226,12,B
54.946068,38921.453,685.172,19,A
44.662434,36125.734,633.3876,4,B
46.267952,35227.13,633.94354,15,B
40.16482,47610.19,718.0197,5,A
43.775043,38844.973,625.2097,3,A
47.81779,53518.676,633.2607,3,A
44.49049,50063.0,604.26776,15,A
49.65454,40550.31,685.9746,19,A
44.593185,40229.703,707.5148,7,A
43.431053,52526.145,587.3353,5,A
49.72705,26135.922,672.8597,15,B
57.092514,43155.695,724.29065,19,A
48.03694,47645.22,643.9201,19,A
49.75318,40412.188,643.57697,7,A
45.887615,42598.855,589.32635,15,A
48.405315,54880.082,665.7211,13,A
42.905575,57448.484,648.33075,3,A
46.82981,36125.105,666.39355,15,B
41.276875,39764.633,676.1067,3,A
43.778854,40675.71,609.92474,15,A
49.05168,32881.457,675.05066,15,B
57.532112,38081.473,711.83704,19,A
38.82948,34306.86,673.46313,15,B
49.32195,33405.2,674.6611,19,B
47.59921,42453.93,689.0609,13,A
56.077137,38686.734,688.8522,19,B
43.943977,48943.742,629.98315,1,A
